,Date,HourlyPrice
620,2020-11-26,18862.76
621,2020-11-26,17302.02
622,2020-11-26,17971.81
623,2020-11-26,16885.39
624,2020-11-26,17062.02
625,2020-11-27,17200.53
626,2020-11-27,17021.9
627,2020-11-27,17096.72
628,2020-11-27,16828.34
629,2020-11-27,16799.74
630,2020-11-27,16748.69
631,2020-11-27,16508.96
632,2020-11-27,16779.98
633,2020-11-27,16955.3
634,2020-11-27,17087.35
635,2020-11-27,16789.89
636,2020-11-27,16832.86
637,2020-11-27,16666.65
638,2020-11-27,16917.28
639,2020-11-27,17415.11
640,2020-11-27,17338.94
641,2020-11-27,17102.7
642,2020-11-27,17106.35
643,2020-11-27,17175.86
644,2020-11-27,17286.75
645,2020-11-27,17307.47
646,2020-11-27,17096.41
647,2020-11-27,16851.23
648,2020-11-27,17090.85
649,2020-11-28,17153.76
650,2020-11-28,17769.85
651,2020-11-28,17699.58
652,2020-11-28,17842.62
653,2020-11-28,17740.39
654,2020-11-28,17767.65
655,2020-11-28,17732.43
656,2020-11-28,17531.4
657,2020-11-28,17357.22
658,2020-11-28,17377.85
659,2020-11-28,17175.8
660,2020-11-28,17015.78
661,2020-11-28,16931.47
662,2020-11-28,16988.16
663,2020-11-28,17207.1
664,2020-11-28,17173.02
665,2020-11-28,17153.25
666,2020-11-28,17012.98
667,2020-11-28,17155.0
668,2020-11-28,16983.49
669,2020-11-28,16993.54
670,2020-11-28,17038.13
671,2020-11-28,17033.12
672,2020-11-28,16902.76
673,2020-11-29,18268.8
674,2020-11-29,18222.24
675,2020-11-29,18058.93
676,2020-11-29,18132.38
677,2020-11-29,18116.28
678,2020-11-29,18133.38
679,2020-11-29,18058.32
680,2020-11-29,18104.34
681,2020-11-29,18042.94
682,2020-11-29,18100.77
683,2020-11-29,18108.0
684,2020-11-29,18111.74
685,2020-11-29,18203.58
686,2020-11-29,17666.44
687,2020-11-29,17600.73
688,2020-11-29,17758.25
689,2020-11-29,17889.66
690,2020-11-29,17739.9
691,2020-11-29,17782.01
692,2020-11-29,17809.89
693,2020-11-29,17752.37
694,2020-11-29,17836.09
695,2020-11-29,18152.68
696,2020-11-29,17779.96
697,2020-11-30,19175.83
698,2020-11-30,19494.59
699,2020-11-30,19297.28
700,2020-11-30,19189.98
701,2020-11-30,19252.62
702,2020-11-30,19183.23
703,2020-11-30,19434.4
704,2020-11-30,19383.08
705,2020-11-30,18852.67
706,2020-11-30,19381.81
707,2020-11-30,18618.56
708,2020-11-30,18519.97
709,2020-11-30,18488.14
710,2020-11-30,18199.23
711,2020-11-30,18448.96
712,2020-11-30,18501.71
713,2020-11-30,18528.97
714,2020-11-30,18596.8
715,2020-11-30,18158.76
716,2020-11-30,18536.88
717,2020-11-30,18548.03
718,2020-11-30,18637.28
719,2020-11-30,18479.94
720,2020-11-30,18543.43
721,2020-12-01,18623.83
722,2020-12-01,19062.52
723,2020-12-01,19041.86
724,2020-12-01,19086.12
725,2020-12-01,18745.06
726,2020-12-01,19060.23
727,2020-12-01,19060.51
728,2020-12-01,19287.97
729,2020-12-01,19294.55
730,2020-12-01,18790.75
731,2020-12-01,19430.04
732,2020-12-01,19490.32
733,2020-12-01,19568.12
734,2020-12-01,19469.37
735,2020-12-01,19529.69
736,2020-12-01,19345.83
737,2020-12-01,19488.26
738,2020-12-01,19405.51
739,2020-12-01,19454.42
740,2020-12-01,19686.82
741,2020-12-01,19605.14
742,2020-12-01,19582.31
743,2020-12-01,19686.87
744,2020-12-01,19758.67
745,2020-12-02,19130.67
746,2020-12-02,18924.85
747,2020-12-02,18893.38
748,2020-12-02,18867.37
749,2020-12-02,18953.53
750,2020-12-02,19021.37
751,2020-12-02,19124.99
752,2020-12-02,19098.61
753,2020-12-02,19151.64
754,2020-12-02,18984.6
755,2020-12-02,19146.38
756,2020-12-02,18559.38
757,2020-12-02,19045.4
758,2020-12-02,19118.26
759,2020-12-02,18839.24
760,2020-12-02,18864.63
761,2020-12-02,18703.97
762,2020-12-02,18621.8
763,2020-12-02,18792.03
764,2020-12-02,18664.77
765,2020-12-02,18941.28
766,2020-12-02,19127.0
767,2020-12-02,19196.49
768,2020-12-02,18935.47
769,2020-12-03,19301.38
770,2020-12-03,19456.71
771,2020-12-03,19379.63
772,2020-12-03,19438.94
773,2020-12-03,19392.62
774,2020-12-03,19308.19
775,2020-12-03,19378.35
776,2020-12-03,19534.9
777,2020-12-03,19369.87
778,2020-12-03,19345.95
779,2020-12-03,19412.66
780,2020-12-03,19226.19
781,2020-12-03,19126.4
782,2020-12-03,19369.99
783,2020-12-03,19193.16
784,2020-12-03,19030.09
785,2020-12-03,19103.8
786,2020-12-03,19055.9
787,2020-12-03,18931.03
788,2020-12-03,18965.97
789,2020-12-03,19208.26
790,2020-12-03,19392.73
791,2020-12-03,19371.35
792,2020-12-03,19052.5
793,2020-12-04,18969.98
794,2020-12-04,19023.86
795,2020-12-04,19064.56
796,2020-12-04,18995.63
797,2020-12-04,19037.24
798,2020-12-04,19067.68
799,2020-12-04,19051.06
800,2020-12-04,18978.79
801,2020-12-04,18821.67
802,2020-12-04,18980.91
803,2020-12-04,18822.7
804,2020-12-04,19448.44
805,2020-12-04,19378.91
806,2020-12-04,19005.26
807,2020-12-04,19484.96
808,2020-12-04,19342.5
809,2020-12-04,19273.79
810,2020-12-04,19181.98
811,2020-12-04,19484.79
